defense,noise_value,activity_acc,attack_acc,attack_acc_lr,attack_acc_rf,attack_acc_mlp,rounds,alpha,seed
none,0,75.6023,100.0,95.5556,100.0,13.3333,15,0.5,42
feature,0.1,75.5005,100.0,100.0,95.5556,64.4444,15,0.5,42
feature,0.5,75.3648,100.0,100.0,91.1111,17.7778,15,0.5,42
feature,1.0,73.9735,100.0,100.0,82.2222,8.8889,15,0.5,42
feature,2.0,64.3366,86.6667,86.6667,68.8889,13.3333,15,0.5,42
feature,3.0,44.6216,66.6667,66.6667,51.1111,8.8889,15,0.5,42
feature,5.0,18.8327,55.5556,55.5556,51.1111,8.8889,15,0.5,42
subject_aware,0.1,77.4007,100.0,100.0,97.7778,51.1111,15,0.5,42
subject_aware,0.5,72.9555,100.0,100.0,88.8889,8.8889,15,0.5,42
subject_aware,1.0,57.1768,91.1111,91.1111,75.5556,20.0,15,0.5,42
subject_aware,2.0,21.5134,68.8889,68.8889,48.8889,6.6667,15,0.5,42
subject_aware,3.0,18.6291,64.4444,64.4444,33.3333,4.4444,15,0.5,42
subject_aware,5.0,18.2219,31.1111,31.1111,22.2222,6.6667,15,0.5,42
dp,0.01,70.6481,84.4444,84.4444,20.0,4.4444,15,0.5,42
dp,0.05,76.79,11.1111,4.4444,11.1111,4.4444,15,0.5,42
dp,0.1,73.8378,6.6667,4.4444,6.6667,2.2222,15,0.5,42
dp,0.3,38.3441,13.3333,4.4444,13.3333,13.3333,15,0.5,42
dp,0.5,34.849,22.2222,4.4444,22.2222,8.8889,15,0.5,42
dp,1.0,25.755,17.7778,4.4444,17.7778,6.6667,15,0.5,42
dp,2.0,16.8307,6.6667,2.2222,4.4444,6.6667,15,0.5,42
subject_aware_delta,0.01,78.4527,17.7778,17.7778,0.0,11.1111,15,0.5,42
subject_aware_delta,0.05,78.4527,17.7778,17.7778,0.0,11.1111,15,0.5,42
subject_aware_delta,0.1,78.4527,17.7778,17.7778,0.0,11.1111,15,0.5,42
subject_aware_delta,0.5,78.4527,17.7778,17.7778,0.0,11.1111,15,0.5,42
subject_aware_delta,1.0,78.4527,17.7778,17.7778,0.0,11.1111,15,0.5,42
subject_aware_delta,2.0,78.4527,17.7778,17.7778,0.0,11.1111,15,0.5,42
