defense,round,activity_acc,attack_acc,attack_acc_lr,attack_acc_rf,attack_acc_mlp,privacy_gain_vs_random,alpha,seed
none,5,59.7896,47.619,47.619,38.0952,38.0952,14.2857,0.5,42
none,10,75.7041,96.6667,96.6667,93.3333,70.0,29.0,0.5,42
none,15,75.6023,100.0,95.5556,100.0,13.3333,30.0,0.5,42
none,20,82.1174,100.0,100.0,98.3333,65.0,30.0,0.5,42
feature,5,34.4757,33.3333,33.3333,14.2857,0.0,10.0,0.5,42
feature,10,56.9732,76.6667,76.6667,50.0,3.3333,23.0,0.5,42
feature,15,64.3366,86.6667,86.6667,68.8889,13.3333,26.0,0.5,42
feature,20,71.0553,93.3333,93.3333,90.0,8.3333,28.0,0.5,42
subject_aware,5,19.1381,33.3333,33.3333,9.5238,19.0476,10.0,0.5,42
subject_aware,10,37.7672,63.3333,63.3333,30.0,13.3333,19.0,0.5,42
subject_aware,15,21.5134,68.8889,68.8889,48.8889,6.6667,20.6667,0.5,42
subject_aware,20,26.9427,71.6667,71.6667,60.0,11.6667,21.5,0.5,42
dp,5,52.2905,14.2857,14.2857,9.5238,4.7619,4.2857,0.5,42
dp,10,72.9895,6.6667,6.6667,3.3333,3.3333,2.0,0.5,42
dp,15,76.79,11.1111,4.4444,11.1111,4.4444,3.3333,0.5,42
dp,20,81.1334,10.0,6.6667,10.0,5.0,3.0,0.5,42
subject_aware_delta,5,49.3383,14.2857,14.2857,4.7619,4.7619,4.2857,0.5,42
subject_aware_delta,10,76.1792,10.0,10.0,3.3333,6.6667,3.0,0.5,42
subject_aware_delta,15,77.9437,17.7778,17.7778,2.2222,6.6667,5.3333,0.5,42
subject_aware_delta,20,78.792,35.0,35.0,11.6667,5.0,10.5,0.5,42
