seed,defense,activity_acc,attack_acc,attack_acc_lr,attack_acc_rf,attack_acc_mlp
42,none,75.6023,100.0,95.5556,100.0,13.3333
42,feature,64.3366,86.6667,86.6667,68.8889,13.3333
42,subject_aware,21.5134,68.8889,68.8889,48.8889,6.6667
42,dp,76.79,11.1111,4.4444,11.1111,4.4444
42,subject_aware_delta,77.9437,17.7778,17.7778,2.2222,6.6667
123,none,88.5646,93.3333,91.1111,93.3333,71.1111
123,feature,59.6539,86.6667,86.6667,71.1111,22.2222
123,subject_aware,17.679,66.6667,66.6667,60.0,8.8889
123,dp,89.3112,8.8889,8.8889,6.6667,6.6667
123,subject_aware_delta,89.5487,26.6667,26.6667,8.8889,8.8889
456,none,76.5524,100.0,100.0,97.7778,66.6667
456,feature,60.0271,84.4444,84.4444,57.7778,4.4444
456,subject_aware,24.228,68.8889,68.8889,35.5556,4.4444
456,dp,80.3868,13.3333,13.3333,4.4444,0.0
456,subject_aware_delta,82.2531,20.0,20.0,6.6667,6.6667
